backend,bucket_frames,trial_count,target_count,non_target_count,eer_rate,eer_percent,eer_threshold,min_dcf,min_dcf_normalized
ort,98,780,60,720,0.4,40.0,0.14626265089924884,0.01,1.0
ort,298,780,60,720,0.05,5.0,0.38283232556047403,0.0034999999999999996,0.35
ort,498,780,60,720,0.06666666666666667,6.666666666666667,0.30539031295851077,0.008666666666666668,0.8666666666666668
ort,998,780,60,720,0.2763888888888889,27.63888888888889,0.24173512923743806,0.01,1.0
crt,98,780,60,720,0.4,40.0,0.1456939161439049,0.01,1.0
crt,298,780,60,720,0.05,5.0,0.37962106361946335,0.0034999999999999996,0.35
crt,498,780,60,720,0.06944444444444445,6.944444444444445,0.3030403042609633,0.008666666666666668,0.8666666666666668
crt,998,780,60,720,0.2833333333333333,28.333333333333332,0.23942543685664955,0.01,1.0
