# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles:u'
# Event count (approx.): 1838900000
#
# Overhead  Symbol                                                 Source:Line                      IPC   [IPC Coverage]
# ........  .....................................................  ...............................  ....................
#
    27.52%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:3969                  -      -            
     5.34%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:64      -      -            
     4.40%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:100             -      -            
     4.06%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:427             -      -            
     3.12%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:435             -      -            
     2.95%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:434             -      -            
     2.90%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:436             -      -            
     2.66%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:4653                  -      -            
     2.50%  [.] campp_reference_offset_for_linear                  tensor_view.h:117                -      -            
     2.19%  [.] campp_qconv_address_input_base                     tensor_view.h:117                -      -            
     2.17%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:422             -      -            
     1.88%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24026                 -      -            
     1.74%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:80      -      -            
     1.48%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:433             -      -            
     1.40%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:91              -      -            
     1.33%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:125             -      -            
     1.31%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:82      -      -            
     1.31%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:4632                  -      -            
     1.30%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:101             -      -            
     1.30%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:3181                  -      -            
     1.20%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:151             -      -            
     1.19%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:155             -      -            
     1.16%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:62      -      -            
     1.03%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:1605                  -      -            
     1.00%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:341             -      -            
     0.94%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:12597                 -      -            
     0.93%  [.] campp_qconv_address_input_base                     tensor_view.h:116                -      -            
     0.75%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:338             -      -            
     0.72%  [.] output_hash                                        campp_operator_microbench.c:339  -      -            
     0.71%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:157             -      -            
     0.69%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:1605                  -      -            
     0.69%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:113             -      -            
     0.67%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:83      -      -            
     0.66%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:594            -      -            
     0.63%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24037                 -      -            
     0.63%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:23767                 -      -            
     0.59%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:78      -      -            
     0.59%  [.] output_hash                                        campp_operator_microbench.c:372  -      -            
     0.53%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:425             -      -            
     0.53%  [.] output_hash                                        campp_operator_microbench.c:340  -      -            
     0.49%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:79      -      -            
     0.49%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:98      -      -            
     0.47%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:99      -      -            
     0.42%  [.] campp_reference_offset_for_linear                  tensor_view.h:116                -      -            
     0.40%  [.] output_hash                                        campp_operator_microbench.c:338  -      -            
     0.34%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:86      -      -            
     0.34%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:465             -      -            
     0.33%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:344             -      -            
     0.32%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:592            -      -            
     0.32%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:863             -      -            
     0.30%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:77      -      -            
     0.30%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:92              -      -            
     0.29%  [.] 0x00000000000a3194                                 libc.so.6[a3194]                 -      -            
     0.26%  [.] output_hash                                        campp_operator_microbench.c:371  -      -            
     0.26%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:467             -      -            
     0.23%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:471             -      -            
     0.23%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:593            -      -            
     0.18%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:16333                 -      -            
     0.17%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:73      -      -            
     0.17%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:582            -      -            
     0.17%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:2720                  -      -            
     0.16%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:757             -      -            
     0.16%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:845             -      -            
