# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:u'
# Event count (approx.): 1168400000
#
# Overhead  Symbol                                              Source:Line                      IPC   [IPC Coverage]
# ........  ..................................................  ...............................  ....................
#
    13.38%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:3969                  -      -            
     8.42%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:64      -      -            
     5.49%  [.] campp_qconv_mac_neon_half_tile_v2               arm_neon.h:3969                  -      -            
     3.92%  [.] campp_qconv_address_input_base                  tensor_view.h:117                -      -            
     3.63%  [.] campp_reference_offset_for_linear               tensor_view.h:117                -      -            
     3.30%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:1605                  -      -            
     2.67%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:80      -      -            
     2.11%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:4632                  -      -            
     1.88%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:82      -      -            
     1.85%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:62      -      -            
     1.77%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:148        -      -            
     1.72%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:23756                 -      -            
     1.64%  [.] campp_qconv_mac_4x8_intrinsics_raw              qconv_mac_4x8_intrinsics.c:98    -      -            
     1.60%  [.] campp_qconv_mac_4x8_intrinsics_raw              qconv_mac_4x8_intrinsics.c:14    -      -            
     1.59%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:4653                  -      -            
     1.30%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:12569                 -      -            
     1.30%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:24037                 -      -            
     1.22%  [.] campp_qconv_address_input_base                  tensor_view.h:116                -      -            
     1.17%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:83      -      -            
     1.16%  [.] campp_fused_input_quantize_neon                 fused_input_quant_neon.c:93      -      -            
     1.09%  [.] output_hash                                     campp_operator_microbench.c:372  -      -            
     1.03%  [.] output_hash                                     campp_operator_microbench.c:373  -      -            
     0.98%  [.] 0x00000000000a3194                              libc.so.6[a3194]                 -      -            
     0.96%  [.] campp_qconv_candidate_run_v2.constprop.1        qconv_candidate.c:595            -      -            
     0.93%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:428             -      -            
     0.88%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:78      -      -            
     0.76%  [.] output_hash                                     campp_operator_microbench.c:405  -      -            
     0.74%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:99      -      -            
     0.74%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:23767                 -      -            
     0.73%  [.] output_hash                                     campp_operator_microbench.c:371  -      -            
     0.70%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:79      -      -            
     0.68%  [.] campp_fused_input_quantize_neon                 arm_neon.h:16333                 -      -            
     0.68%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:98      -      -            
     0.68%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:437             -      -            
     0.67%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:435             -      -            
     0.63%  [.] campp_qconv_mac_4x8_try_tile                    qconv_mac_4x8.c:128              -      -            
     0.62%  [.] campp_reference_offset_for_linear               tensor_view.h:116                -      -            
     0.60%  [.] campp_qconv_mac_neon_half_tile_v2               arm_neon.h:4653                  -      -            
     0.59%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:436             -      -            
     0.57%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:142        -      -            
     0.56%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:86      -      -            
     0.55%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:423             -      -            
     0.53%  [.] campp_qconv_requantize_store_neon_tile          qconv_mac_neon.c:780             -      -            
     0.47%  [.] campp_qconv_address_input_base                  qconv_address_fastpath.c:77      -      -            
     0.47%  [.] campp_qconv_candidate_run_v2.constprop.1        qconv_candidate.c:593            -      -            
     0.45%  [.] campp_qconv_candidate_run_v2.constprop.1        qconv_candidate.c:583            -      -            
     0.42%  [.] campp_qconv_mac_4x8_try_tile                    qconv_mac_4x8.c:130              -      -            
     0.41%  [.] campp_qconv_neon_weight_columns                 arm_neon.h:24026                 -      -            
     0.39%  [.] campp_fused_input_quantize_neon                 fused_input_quant_neon.c:106     -      -            
     0.38%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:153        -      -            
     0.38%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:101             -      -            
     0.36%  [.] campp_qconv_mac_4x8_try_tile                    qconv_mac_4x8.c:68               -      -            
     0.36%  [.] output_hash                                     campp_operator_microbench.c:404  -      -            
     0.34%  [.] campp_qconv_mac_4x8_intrinsics_raw              arm_neon.h:3181                  -      -            
     0.32%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:215        -      -            
     0.31%  [.] campp_qconv_neon_weight_columns                 qconv_mac_neon.c:152             -      -            
     0.30%  [.] output_hash                                     campp_operator_microbench.c:406  -      -            
     0.29%  [.] campp_qconv_neon_weight_columns                 arm_neon.h:1605                  -      -            
     0.28%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:434             -      -            
     0.28%  [.] campp_qconv_neon_weight_columns                 qconv_mac_neon.c:156             -      -            
     0.28%  [.] output_hash                                     campp_operator_microbench.c:402  -      -            
     0.27%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:10805                 -      -            
     0.27%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:137        -      -            
     0.27%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:342             -      -            
     0.27%  [.] campp_qconv_neon_weight_columns                 qconv_mac_neon.c:126             -      -            
     0.27%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:108        -      -            
     0.26%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:3280                  -      -            
     0.26%  [.] campp_qconv_neon_weight_columns                 arm_neon.h:4632                  -      -            
     0.25%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:996                   -      -            
     0.25%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:130        -      -            
     0.25%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:92              -      -            
     0.25%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:77      -      -            
     0.24%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:198        -      -            
     0.24%  [.] campp_qconv_neon_weight_columns                 arm_neon.h:3181                  -      -            
     0.23%  [.] campp_qconv_candidate_run_v2.constprop.1        qconv_candidate.c:594            -      -            
     0.22%  [.] campp_qconv_mac_4x8_intrinsics_raw              qconv_mac_4x8_intrinsics.c:94    -      -            
     0.22%  [.] campp_qconv_mac_4x8_try_tile                    qconv_mac_4x8.c:133              -      -            
     0.22%  [.] campp_qconv_mac_neon_half_tile_v2               arm_neon.h:1605                  -      -            
     0.22%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:60      -      -            
     0.22%  [.] 0x00000000000a30d0                              libc.so.6[a30d0]                 -      -            
     0.21%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:16333                 -      -            
     0.21%  [.] campp_fused_input_quantize_neon                 fused_input_quant_neon.c:86      -      -            
     0.20%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:10568                 -      -            
     0.20%  [.] campp_fused_input_quantize_neon                 arm_neon.h:10568                 -      -            
     0.20%  [.] campp_qconv_requantize_store_neon_tile          qconv_mac_neon.c:762             -      -            
     0.19%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:114        -      -            
     0.19%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:99         -      -            
     0.19%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:75      -      -            
     0.18%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:2720                  -      -            
     0.18%  [.] campp_qconv_mac_4x8_try_tile                    qconv_mac_4x8.c:61               -      -            
     0.18%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:339             -      -            
     0.18%  [.] campp_qconv_neon_weight_columns                 qconv_mac_neon.c:114             -      -            
     0.17%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:324                   -      -            
     0.17%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:426             -      -            
     0.16%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:95         -      -            
     0.16%  [.] campp_qconv_mac_neon_half_tile_v2               qconv_mac_neon.c:102             -      -            
     0.16%  [.] campp_qconv_neon_weight_columns                 arm_neon.h:12597                 -      -            
