operator_id,input_shape,baseline_mean_ms,scalar_mean_ms,neon_mean_ms,neon_speedup_ratio,baseline_p50_ms,neon_p50_ms,baseline_p95_ms,neon_p95_ms,scalar_bitwise,neon_bitwise,winner
1,"[1, 32, 80, 98]",35.80825866666667,5.9082917,1.0013601833333334,35.759619028857266,35.7746615,0.990052,36.456513,1.04587735,True,True,neon
11,"[1, 32, 40, 98]",17.3165755,2.8983949833333336,0.48272218333333333,35.8727568317332,17.24487,0.480026,17.645422449999998,0.51355245,True,True,neon
19,"[1, 32, 20, 98]",8.601736983333332,1.44445745,0.23702858333333335,36.289872142705704,8.5696615,0.233464,8.73173165,0.25071605,True,True,neon
821,"[1, 64, 49]",0.35434376666666667,0.07058243333333333,0.0113976,31.0893316721649,0.352969,0.011094,0.36315919999999996,0.012149149999999994,True,True,neon
