bucket_frames,constant_count,used_constant_count,source_weights_bytes,static_weights_bytes,padding_bytes,saved_bytes,saved_pct,execution_plan_sha256,weights_sha256,inference_weight_moves
98,2280,2228,7570624,7447008,15840,123616,1.6328376630512886,91d383b8d10cffdbbb7cc44d9728390d255bcc838211a423e5c8c19d805bb705,21a8288a9a2e7e0a524ac76088b95b1d36f10b6f79e4be6a2640e78d7014dab2,0
298,2280,2280,7570624,7445760,14592,124864,1.6493224336593653,8a1528dd559d6dca7f98ed975b384dd0a50ab3dc64a354e2a0a18908965d4e52,437017960b5d1dae9e04a2da929460dfdedcb06bae5b7775f76a2780af24223e,0
498,2280,2280,7570624,7445760,14592,124864,1.6493224336593653,d25f8df52b6f6d678e5bb5dea80057d45c3fcea1c6e0351a23c24afaaabcdca6,0623c5c34143c931851d75d924d97359e9126f700e466dc56a21e39cc2d80181,0
998,2280,2280,7570624,7445760,14592,124864,1.6493224336593653,b51c1146fa270de881d7fb661cb2afb94c8ce22d31204dc94b772ae2eeaf2b85,081703fd38ae02d5f102a60c8744da59a7551b2b6ef69308e72428aece3fac38,0
