family,operator_id,weight_shape,incumbent,selected,selection_reason,margin_vs_incumbent_pct,incumbent_mean_ms,selected_mean_ms
qlinear_conv,342,128x512x1,v4,v5,fastest_bitwise,7.936681508954051,1.08504165,0.99892535
qlinear_conv,354,32x64x1,v4,v5,fastest_bitwise,1.3991054747275333,0.059260483333333336,0.05843136666666667
qlinear_conv,357,128x544x1,v4,v5,fastest_bitwise,7.513609173749016,1.1467387333333332,1.0605772666666666
qlinear_conv,369,32x64x1,v4,v5,fastest_bitwise,5.142793282180116,0.058907999999999995,0.05587848333333333
qlinear_conv,372,128x576x1,v4,v5,fastest_bitwise,7.5945905243801155,1.2077412166666666,1.1160182166666668
qlinear_conv,384,32x64x1,v4,v5,fastest_bitwise,5.4948997682211305,0.05927345,0.05601643333333333
qlinear_conv,387,128x608x1,v4,v5,fastest_bitwise,7.584702471090554,1.2690834,1.1728272
qlinear_conv,399,32x64x1,v4,v5,fastest_bitwise,5.0152758132956095,0.058916666666666666,0.055961833333333336
qlinear_conv,402,128x640x1,v4,v5,fastest_bitwise,6.382521944389867,1.3312457166666667,1.2462786666666665
qlinear_conv,414,32x64x1,v4,v5,fastest_bitwise,4.7799003851265525,0.05887675,0.0560625
qlinear_conv,417,128x672x1,v4,v5,fastest_bitwise,8.380920482126717,1.4166815,1.29795055
qlinear_conv,429,32x64x1,v4,v5,fastest_bitwise,4.611887948053384,0.059045233333333336,0.05632213333333334
qlinear_conv,432,128x704x1,v4,v5,fastest_bitwise,7.592281755066091,1.4530833666666667,1.3427611833333333
qlinear_conv,444,32x64x1,v4,v5,fastest_bitwise,5.6734002342963965,0.05942615,0.05605466666666667
qlinear_conv,447,128x736x1,v4,v5,fastest_bitwise,7.590869962011756,1.5182726166666667,1.4030225166666668
qlinear_conv,459,32x64x1,v4,v5,fastest_bitwise,4.841626928882887,0.059057283333333335,0.05619795
qlinear_conv,462,128x768x1,v4,v5,fastest_bitwise,7.796670689036556,1.5861710500000001,1.4625025166666668
qlinear_conv,474,32x64x1,v4,v5,fastest_bitwise,7.043457800539647,0.06056258333333333,0.05629688333333334
qlinear_conv,477,128x800x1,v4,v5,fastest_bitwise,7.583820591782259,1.65381945,1.52839675
qlinear_conv,489,32x64x1,v4,v5,fastest_bitwise,5.123462884966392,0.05907983333333333,0.056052899999999996
qlinear_conv,492,128x832x1,v4,v5,fastest_bitwise,7.175777003490853,1.7102282666666668,1.5875061
qlinear_conv,504,32x64x1,v4,v5,fastest_bitwise,4.786209346785239,0.05910766666666666,0.05627865
qlinear_conv,507,128x864x1,v4,v5,fastest_bitwise,7.556763124888234,1.7697074499999998,1.63597485
qlinear_conv,519,32x64x1,v4,v5,fastest_bitwise,3.692480973163334,0.05910073333333333,0.056918449999999995
qlinear_conv,522,128x896x1,v4,v5,fastest_bitwise,8.547296733129244,1.8493706833333334,1.6912994833333335
qlinear_conv,534,32x64x1,v4,v5,fastest_bitwise,4.571156357840237,0.05905726666666666,0.05635766666666667
qlinear_conv,537,128x928x1,v4,v5,fastest_bitwise,7.563055450426556,1.8947179166666668,1.75141935
qlinear_conv,549,32x64x1,v4,v5,fastest_bitwise,11.677941505035486,0.06325786666666668,0.05587065
qlinear_conv,552,128x960x1,v4,v5,fastest_bitwise,7.438371144361519,1.9494209666666669,1.8044158000000001
qlinear_conv,564,32x64x1,v4,v5,fastest_bitwise,3.81411188429711,0.0591492,0.05689318333333333
qlinear_conv,567,128x992x1,v4,v5,fastest_bitwise,6.2813496749029865,2.0253134,1.8980963833333333
qlinear_conv,579,32x64x1,v4,v5,fastest_bitwise,4.978708734928688,0.058983499999999994,0.05604688333333333
qlinear_conv,582,512x1024x1,v4,v5,fastest_bitwise,6.561990542504368,8.534711833333334,7.97466485
qlinear_conv,585,128x512x1,v4,v5,fastest_bitwise,7.266667944450848,1.0826032499999998,1.0039340666666667
qlinear_conv,597,32x64x1,v4,v5,fastest_bitwise,5.01130117366912,0.05908678333333333,0.05612576666666667
qlinear_conv,600,128x544x1,v4,v5,fastest_bitwise,6.789478224254755,1.1465225666666667,1.0686796666666667
qlinear_conv,612,32x64x1,v4,v5,fastest_bitwise,5.066854726081901,0.05891755,0.05593228333333333
qlinear_conv,615,128x576x1,v4,v5,fastest_bitwise,8.057308691294429,1.2181189000000001,1.1199713
qlinear_conv,627,32x64x1,v4,v5,fastest_bitwise,4.580544399821505,0.059012999999999996,0.05630988333333333
qlinear_conv,630,128x608x1,v4,v5,fastest_bitwise,7.329548290170779,1.2703627333333334,1.1772508833333333
qlinear_conv,642,32x64x1,v4,v5,fastest_bitwise,5.091264855117638,0.05907896666666666,0.0560711
qlinear_conv,645,128x640x1,v4,v5,fastest_bitwise,8.230645885401987,1.3380503166666666,1.2279201333333334
qlinear_conv,657,32x64x1,v4,v5,fastest_bitwise,5.349181600381184,0.05960413333333334,0.0564158
qlinear_conv,660,128x672x1,v4,v5,fastest_bitwise,9.31174466936481,1.4196431999999999,1.28744965
qlinear_conv,672,32x64x1,v4,v5,fastest_bitwise,5.196965141991459,0.05926471666666667,0.05618475
qlinear_conv,675,128x704x1,v4,v5,fastest_bitwise,7.883934554667295,1.4570216500000002,1.3421510166666666
qlinear_conv,687,32x64x1,v4,v5,fastest_bitwise,5.595598113126534,0.05977436666666667,0.05642963333333333
qlinear_conv,690,128x736x1,v4,v5,fastest_bitwise,7.688062645030155,1.5210485666666667,1.4041094
qlinear_conv,702,32x64x1,v4,v5,fastest_bitwise,3.577957063723663,0.058954033333333336,0.05684468333333333
qlinear_conv,705,128x768x1,v4,v5,fastest_bitwise,8.077002668010705,1.5848636999999999,1.4568542166666667
qlinear_conv,717,32x64x1,v4,v5,fastest_bitwise,4.847600904195783,0.058895800000000005,0.056040766666666665
qlinear_conv,720,128x800x1,v4,v5,fastest_bitwise,6.6702696084247295,1.6421457666666666,1.5326102166666666
qlinear_conv,732,32x64x1,v4,v5,fastest_bitwise,5.466801733565051,0.05918055,0.05594526666666667
qlinear_conv,735,128x832x1,v4,v5,fastest_bitwise,8.568044038850255,1.7315044833333333,1.5831484166666667
qlinear_conv,747,32x64x1,v4,v5,fastest_bitwise,4.789622705114093,0.059081550000000004,0.05625176666666667
qlinear_conv,750,128x864x1,v4,v5,fastest_bitwise,6.862490416239697,1.7662691333333334,1.6450590833333334
qlinear_conv,762,32x64x1,v4,v5,fastest_bitwise,4.7433350280129964,0.059073766666666666,0.0562717
qlinear_conv,765,128x896x1,v4,v5,fastest_bitwise,7.978215690331098,1.8408723500000002,1.6940035833333333
qlinear_conv,777,32x64x1,v4,v5,fastest_bitwise,4.533615703666657,0.059165800000000004,0.05648345
qlinear_conv,780,128x928x1,v4,v5,fastest_bitwise,7.553002618702824,1.9078593499999998,1.7637586833333332
qlinear_conv,792,32x64x1,v4,v5,fastest_bitwise,5.560238571726105,0.059138050000000005,0.055849833333333335
qlinear_conv,795,128x960x1,v4,v5,fastest_bitwise,8.682438883558907,1.9859999666666668,1.8135667333333332
qlinear_conv,807,32x64x1,v4,v5,fastest_bitwise,5.4739766676597394,0.059243950000000004,0.05600095
qlinear_conv,810,128x992x1,v4,v5,fastest_bitwise,7.863982733474027,2.0284566833333333,1.8689392
qlinear_conv,822,32x64x1,v4,v5,fastest_bitwise,5.028395929573692,0.05910765,0.05613548333333333
qlinear_conv,825,512x1024x1,v4,v5,fastest_bitwise,6.525483641506854,8.5952283,8.034348083333333
fused_quant_qconv,0,32x1x3x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,72.65225603333333,72.65225603333333
fused_quant_qconv,10,32x32x3x3,combined_hybrid,combined_v5,fastest_bitwise,8.470692148123103,16.74133245,15.323225716666666
fused_quant_qconv,25,32x32x3x3,combined_hybrid,combined_v5,fastest_bitwise,8.196508480253343,8.679881216666667,7.9684340166666665
fused_quant_qconv,31,32x32x3x3,combined_hybrid,combined_v5,fastest_bitwise,7.492308467537605,4.5994627,4.254856766666666
fused_quant_qconv,35,128x320x5,combined_hybrid,combined_hybrid,incumbent_within_margin,0.5030194480743645,4.5478924166666665,4.5478924166666665
fused_quant_qconv,42,32x128x3,combined_hybrid,combined_fixed,fastest_bitwise,1.0423662671376444,0.34600601666666664,0.34239936666666665
fused_quant_qconv,49,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.159694868922962,0.21886113333333332,0.20756856666666668
fused_quant_qconv,57,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.34237771666666666,0.34237771666666666
fused_quant_qconv,64,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.042715621036127,0.21849734999999998,0.20747915
fused_quant_qconv,72,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.34275,0.34275
fused_quant_qconv,79,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.218398395264699,0.21881075,0.20739233333333335
fused_quant_qconv,87,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.34226993333333333,0.34226993333333333
fused_quant_qconv,94,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,5.151681393239964,0.21867876666666666,0.20741313333333336
fused_quant_qconv,102,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.34242011666666666,0.34242011666666666
fused_quant_qconv,109,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,4.9204011006889505,0.21835415,0.20761025
fused_quant_qconv,117,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.3425686166666667,0.3425686166666667
fused_quant_qconv,124,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,4.860750282014669,0.21885681666666665,0.20821873333333332
fused_quant_qconv,132,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.3423473166666666,0.3423473166666666
fused_quant_qconv,139,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,3.219291824290997,0.21900261666666668,0.21195228333333332
fused_quant_qconv,147,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.34576481666666664,0.34576481666666664
fused_quant_qconv,154,64x128x1,combined_hybrid,combined_v5,fastest_bitwise,4.9764935449561465,0.2189115,0.20801738333333333
fused_quant_qconv,162,32x128x3,combined_hybrid,combined_hybrid,fastest_bitwise,0.0,0.3445763833333333,0.3445763833333333
