# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:u'
# Event count (approx.): 883700000
#
# Overhead  Symbol                                    Source:Line                                 IPC   [IPC Coverage]
# ........  ........................................  ..........................................  ....................
#
    17.25%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3969                             -      -            
    11.19%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:64                 -      -            
     7.34%  [.] campp_qconv_mac_neon_half_tile_v2     arm_neon.h:3969                             -      -            
     4.80%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:1605                             -      -            
     4.80%  [.] campp_reference_offset_for_linear     tensor_view.h:117                           -      -            
     2.80%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4632                             -      -            
     2.46%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:62                 -      -            
     2.31%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4653                             -      -            
     2.10%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23756                            -      -            
     1.92%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:14               -      -            
     1.75%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:12569                            -      -            
     1.66%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:24037                            -      -            
     1.63%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:98               -      -            
     1.36%  [.] output_hash                           campp_operator_microbench.c:385             -      -            
     1.32%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:428                        -      -            
     1.22%  [.] output_hash                           campp_operator_microbench.c:418             -      -            
     1.14%  [.] output_hash                           campp_operator_microbench.c:386             -      -            
     1.03%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23767                            -      -            
     0.98%  [.] campp_reference_offset_for_linear     tensor_view.h:116                           -      -            
     0.97%  [.] output_hash                           campp_operator_microbench.c:384             -      -            
     0.93%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:437                        -      -            
