case_name,operator_id,input,v2_input_address_pct,v2_weight_transform_pct,v2_mac_smlal_pct,v2_requant_pct,v2_output_store_pct,setup_other_pct,foreign_symbol_pct,unclassified_pct,classified_core_share_pct,stack_spill_share_of_annotated_pct,winner
qconv_3x3,2,benchmarks/campplus/features/multi__speaker_0000__98.f32,14.608308,1.170895,52.402193,0.743425,1.812099,0.027878,0.000000,29.235201,70.736920,0.089928,v2_mac_smlal
qconv_3x3,2,benchmarks/campplus/features/multi__speaker_0005__98.f32,14.353444,0.966812,52.905085,0.948220,1.775588,0.000000,0.000000,29.050851,70.949149,0.129961,v2_mac_smlal
qconv_3x3,2,benchmarks/campplus/features/multi__speaker_0006__98.f32,14.289688,1.205490,52.624258,0.862389,1.752596,0.074184,0.000000,29.191395,70.734421,0.079944,v2_mac_smlal
qconv_1x1,825,benchmarks/campplus/features/multi__speaker_0000__98.f32,3.315616,0.936472,83.902809,0.556821,0.936472,0.202480,0.000000,10.149329,89.648190,0.060030,v2_mac_smlal
qconv_1x1,825,benchmarks/campplus/features/multi__speaker_0005__98.f32,3.136858,1.669618,83.531495,0.404756,0.834809,0.151783,0.000000,10.270680,89.577536,0.060024,v2_mac_smlal
qconv_1x1,825,benchmarks/campplus/features/multi__speaker_0006__98.f32,3.426396,1.218274,83.299492,0.558376,1.091371,0.279188,0.000000,10.126904,89.593909,0.030012,v2_mac_smlal
