mode,operator_id,weight_shape,baseline_mean_ms,candidate_mean_ms,speedup_ratio,baseline_p50_ms,candidate_p50_ms,p50_speedup_ratio,baseline_p95_ms,candidate_p95_ms,p95_speedup_ratio,bitwise_output_hashes
combined_fixed,0,32x1x3x3,73.63369435,72.68957118333333,1.0129884266930873,73.5461455,72.60151049999999,1.013011230668541,74.0298382,73.31960375,1.0096868288107737,True
combined_fixed,10,32x32x3x3,425.35987223333336,22.753997350000002,18.693852587327182,425.248229,22.7059895,18.72846056764009,427.01791185,23.121476299999998,18.468453584427913,True
combined_fixed,25,32x32x3x3,209.78763015,11.596698,18.09029002479844,209.732552,11.573124499999999,18.122379310790272,210.7202237,11.755973599999999,17.924523384434956,True
combined_fixed,31,32x32x3x3,109.00073345000001,6.06032555,17.985953485617618,108.880052,6.0203904999999995,18.085214239840425,109.69818219999999,6.25420315,17.539913490018307,True
combined_fixed,35,128x320x5,104.37446085,4.5443636666666665,22.96789352832751,104.159036,4.5271609999999995,23.007583781535494,105.3496306,4.600492350000001,22.89964260020995,True
combined_fixed,42,32x128x3,6.708289083333333,0.34283328333333335,19.567204846942854,6.6934640000000005,0.341458,19.602598269772567,6.7944344999999995,0.3527376,19.262008076258386,True
combined_fixed,49,64x128x1,4.792620633333333,0.2753862833333333,17.403265606850304,4.776172000000001,0.274271,17.41406127516216,4.86833315,0.2835334,17.170228093057116,True
combined_fixed,57,32x128x3,6.718380233333334,0.34348445,19.55948874347393,6.6939065,0.341406,19.606880078264588,6.8602075,0.35071125,19.560842430917173,True
combined_fixed,64,64x128x1,4.802921016666667,0.27532719999999994,17.44441165517489,4.776927000000001,0.27411450000000004,17.426757796468262,4.9051484,0.28552629999999996,17.179322535262077,True
combined_fixed,72,32x128x3,6.717346333333333,0.3508524166666666,19.145788982024495,6.6916925,0.3415365,19.59290588268018,6.84547355,0.39003889999999997,17.550745707671723,True
combined_fixed,79,64x128x1,4.7844297000000005,0.27518145,17.386454283164802,4.7763805,0.274427,17.404921891796363,4.827838399999999,0.27758104999999994,17.392535981833056,True
combined_fixed,87,32x128x3,6.72012325,0.3423082333333333,19.631789701815528,6.69698,0.3413025,19.621831073607723,6.856434950000001,0.35075775,19.547493818739575,True
combined_fixed,94,64x128x1,4.796073883333333,0.27560165,17.402195826234472,4.7759895,0.274011,17.429918871870107,4.8952350000000004,0.28636195000000003,17.09457209660711,True
combined_fixed,102,32x128x3,6.717723966666667,0.3435859166666667,19.551802448247418,6.6952605,0.341355,19.61377598101683,6.7819638499999995,0.3527132,19.22798423761855,True
combined_fixed,109,64x128x1,4.77674315,0.27551386666666666,17.337577987605222,4.774401,0.2741665,17.414239157592196,4.78540675,0.2860749,16.727810618827444,True
combined_fixed,117,32x128x3,6.72004865,0.34246445,19.62261674167932,6.6913025,0.341276,19.6067186089851,6.80917765,0.35272885,19.304283304300174,True
combined_fixed,124,64x128x1,4.7904739166666666,0.2754088333333333,17.39404600312384,4.7752605,0.274114,17.420709996570768,4.8582417,0.28450764999999995,17.07596157783455,True
combined_fixed,132,32x128x3,6.707637116666667,0.3423186,19.594719996712616,6.691432000000001,0.341302,19.60560442071831,6.77878935,0.35070835,19.328850738797637,True
combined_fixed,139,64x128x1,4.788315033333333,0.2750684666666666,17.407720671726096,4.776040999999999,0.274062,17.426863264516786,4.8772754,0.28417134999999993,17.16314962785658,True
combined_fixed,147,32x128x3,6.697066016666667,0.34279170000000003,19.53683830929006,6.691979,0.341406,19.601234307539997,6.73150455,0.35217765,19.113945902018486,True
combined_fixed,154,64x128x1,4.789707433333334,0.2754852666666666,17.386437726010275,4.775259999999999,0.274297,17.40908577199167,4.8428644499999995,0.28414805,17.043454811672998,True
combined_fixed,162,32x128x3,6.71507805,0.3507960833333333,19.142397446949833,6.692474000000001,0.34171850000000004,19.584757629452312,6.859021299999999,0.37789664999999995,18.150521577791178,True
combined_fixed,169,64x128x1,4.780053883333333,0.27548348333333333,17.351508066817555,4.7736719999999995,0.274375,17.39834897494305,4.785073250000001,0.28716115,16.663372639369918,True
combined_fixed,177,32x128x3,6.722743916666667,0.3430009,19.5997850637321,6.6972135,0.3413025,19.622515217439076,6.80210425,0.35297605000000004,19.270724600153464,True
combined_fixed,184,64x128x1,4.839364566666666,0.27533853333333336,17.576052679876746,4.785391000000001,0.2743225,17.44439847260068,5.088601700000001,0.2845414,17.88351958625353,True
