# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:u'
# Event count (approx.): 893600000
#
# Overhead  Symbol                                         Source:Line                                 IPC   [IPC Coverage]
# ........  .............................................  ..........................................  ....................
#
    17.73%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3969                             -      -            
    10.91%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:64                 -      -            
     6.37%  [.] campp_qconv_mac_neon_half_tile_v2          arm_neon.h:3969                             -      -            
     4.85%  [.] campp_reference_offset_for_linear          tensor_view.h:117                           -      -            
     4.35%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:1605                             -      -            
     3.48%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:98               -      -            
     2.82%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4632                             -      -            
     2.60%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:62                 -      -            
     2.38%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:14               -      -            
     2.36%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23756                            -      -            
     2.06%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4653                             -      -            
     1.80%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:12569                            -      -            
     1.70%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:24037                            -      -            
     1.53%  [.] output_hash                                campp_operator_microbench.c:385             -      -            
     1.18%  [.] output_hash                                campp_operator_microbench.c:418             -      -            
     1.15%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23767                            -      -            
     1.13%  [.] output_hash                                campp_operator_microbench.c:386             -      -            
     1.00%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:428                        -      -            
     0.94%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:435                        -      -            
     0.90%  [.] campp_reference_offset_for_linear          tensor_view.h:116                           -      -            
     0.87%  [.] campp_qconv_mac_neon_half_tile_v2          arm_neon.h:4653                             -      -            
     0.86%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:9                      -      -            
     0.79%  [.] output_hash                                campp_operator_microbench.c:384             -      -            
     0.76%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:436                        -      -            
     0.74%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:128                         -      -            
     0.73%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:96                     -      -            
     0.67%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:101                        -      -            
     0.65%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:437                        -      -            
     0.59%  [.] output_hash                                campp_operator_microbench.c:417             -      -            
     0.58%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:423                        -      -            
     0.53%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:68                          -      -            
     0.53%  [.] campp_qconv_neon_weight_columns            arm_neon.h:24026                            -      -            
     0.51%  [.] 0x00000000000a3194                         libc.so.6[a3194]                            -      -            
     0.48%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:130                         -      -            
     0.48%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:80                     -      -            
     0.47%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:83                     -      -            
     0.45%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3181                             -      -            
