# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles:u'
# Event count (approx.): 1078400000
#
# Overhead  Symbol                                                 Source:Line                      IPC   [IPC Coverage]
# ........  .....................................................  ...............................  ....................
#
    15.08%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:3969                  -      -            
     9.25%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:64      -      -            
     5.20%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:3969                  -      -            
     4.02%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:1605                  -      -            
     3.97%  [.] campp_reference_offset_for_linear                  tensor_view.h:117                -      -            
     3.84%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:98    -      -            
     3.80%  [.] campp_qconv_address_input_base                     tensor_view.h:117                -      -            
     2.87%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:80      -      -            
     2.35%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:4632                  -      -            
     2.11%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:82      -      -            
     2.04%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:62      -      -            
     1.99%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:23756                 -      -            
     1.84%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:14    -      -            
     1.73%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:4653                  -      -            
     1.47%  [.] campp_qconv_address_input_base                     tensor_view.h:116                -      -            
     1.33%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:24037                 -      -            
     1.27%  [.] output_hash                                        campp_operator_microbench.c:371  -      -            
     1.26%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:12569                 -      -            
     1.15%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:83      -      -            
     1.08%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:595            -      -            
     1.06%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:23767                 -      -            
     1.01%  [.] output_hash                                        campp_operator_microbench.c:372  -      -            
     0.98%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:78      -      -            
     0.85%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:100             -      -            
     0.85%  [.] output_hash                                        campp_operator_microbench.c:404  -      -            
     0.76%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:427             -      -            
     0.71%  [.] output_hash                                        campp_operator_microbench.c:370  -      -            
     0.70%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:99      -      -            
     0.69%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:79      -      -            
     0.67%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:98      -      -            
     0.64%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:434             -      -            
     0.59%  [.] campp_reference_offset_for_linear                  tensor_view.h:116                -      -            
     0.58%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:4653                  -      -            
     0.57%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:436             -      -            
     0.57%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:3181                  -      -            
     0.57%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:68               -      -            
     0.54%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:593            -      -            
     0.54%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:435             -      -            
     0.53%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:422             -      -            
     0.49%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:77      -      -            
     0.48%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:86      -      -            
     0.48%  [.] 0x00000000000a3194                                 libc.so.6[a3194]                 -      -            
     0.47%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:128              -      -            
     0.47%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:130              -      -            
     0.44%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:583            -      -            
     0.44%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24026                 -      -            
     0.43%  [.] output_hash                                        campp_operator_microbench.c:403  -      -            
     0.35%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:863             -      -            
     0.33%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:60      -      -            
     0.32%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:594            -      -            
     0.32%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:433             -      -            
     0.32%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:845             -      -            
     0.31%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:125             -      -            
     0.28%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:1605                  -      -            
     0.28%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:4632                  -      -            
     0.28%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:324                   -      -            
     0.28%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:757             -      -            
     0.28%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:827             -      -            
     0.27%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:3181                  -      -            
     0.27%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:151             -      -            
     0.27%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:155             -      -            
     0.27%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:77      -      -            
     0.26%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:12531                 -      -            
     0.25%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:75      -      -            
     0.24%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:2720                  -      -            
     0.24%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:755             -      -            
     0.23%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:10805                 -      -            
     0.23%  [.] output_hash                                        campp_operator_microbench.c:405  -      -            
     0.23%  [.] 0x00000000000a4098                                 libc.so.6[a4098]                 -      -            
     0.22%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:129              -      -            
     0.22%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:91              -      -            
     0.21%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:22148                 -      -            
     0.21%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:133              -      -            
     0.21%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:341             -      -            
     0.20%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:73      -      -            
     0.20%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:94    -      -            
     0.20%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:16333                 -      -            
     0.20%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:3280                  -      -            
     0.19%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:1605                  -      -            
     0.19%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:61               -      -            
     0.19%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:113             -      -            
     0.19%  [.] output_hash                                        campp_operator_microbench.c:401  -      -            
     0.18%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:587            -      -            
     0.18%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:157             -      -            
     0.18%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:10568                 -      -            
     0.17%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:101             -      -            
     0.16%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:338             -      -            
     0.16%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:10238                 -      -            
     0.16%  [.] memcpy@plt                                         memcpy@plt+0                     -      -            
     0.15%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:68             -      -            
     0.15%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:15594                 -      -            
     0.15%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:754             -      -            
     0.15%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:839             -      -            
     0.14%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:425             -      -            
     0.13%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:67             -      -            
     0.13%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:996                   -      -            
     0.12%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:107   -      -            
     0.12%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:12597                 -      -            
     0.12%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:23767                 -      -            
     0.12%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24037                 -      -            
     0.12%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:745             -      -            
     0.11%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:828             -      -            
     0.11%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:836             -      -            
     0.10%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:103   -      -            
     0.10%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:465             -      -            
     0.09%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:73    -      -            
     0.09%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:12583                 -      -            
     0.09%  [.] 0x00000000000a30d0                                 libc.so.6[a30d0]                 -      -            
     0.08%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:83    -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:829             -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:862             -      -            
     0.08%  [.] 0x00000000000a30dc                                 libc.so.6[a30dc]                 -      -            
     0.07%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:125              -      -            
     0.07%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:756             -      -            
     0.07%  [.] 0x00000000000a30d8                                 libc.so.6[a30d8]                 -      -            
     0.06%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:66               -      -            
     0.06%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:92              -      -            
     0.06%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:145   -      -            
     0.06%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:460             -      -            
     0.06%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:853             -      -            
