operator_id,output_shape,combined_mean_ms,exact16_mean_ms,spatial2_mean_ms,prescaled_mean_ms,exact16_bitwise,spatial2_bitwise,prescaled_bitwise,winner,winner_speedup_ratio
38,"[1, 128, 49]",0.15635848333333333,0.0518064,0.04462926666666667,0.047421816666666665,True,True,True,v2_spatial2,3.5034965844535497
386,"[1, 608, 49]",0.7163542166666667,0.2344123,0.20629941666666665,0.21160323333333333,True,True,True,v2_spatial2,3.472400592504503
824,"[1, 1024, 49]",1.2046944166666667,0.37487406666666667,0.3569314333333333,0.3422969666666667,True,True,True,v2_prescaled,3.519442279603412
