# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles:u'
# Event count (approx.): 3398700000
#
# Overhead  Symbol                                     Source:Line                      IPC   [IPC Coverage]
# ........  .........................................  ...............................  ....................
#
     7.99%  [.] campp_aarch64_qlinear_conv_o4i4        arm_neon.h:6981                  -      -            
     7.51%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:310   -      -            
     6.82%  [.] campp_aarch64_qlinear_conv_o4i4        tensor_view.h:117                -      -            
     5.71%  [.] campp_reference_offset_for_linear      reference_kernel_utils.c:64      -      -            
     5.51%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:342   -      -            
     4.85%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:43    -      -            
     4.06%  [.] campp_aarch64_qlinear_conv_o4i4        arm_neon.h:5031                  -      -            
     3.30%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:320   -      -            
     2.69%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:314   -      -            
     2.62%  [.] campp_reference_offset_for_linear      tensor_view.h:117                -      -            
     2.59%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:323   -      -            
     2.50%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:48    -      -            
     2.24%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:78    -      -            
     2.12%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:292   -      -            
     2.02%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:326   -      -            
     1.98%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:331   -      -            
     1.93%  [.] campp_aarch64_qlinear_conv_o4i4        tensor_view.h:116                -      -            
     1.91%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:308   -      -            
     1.74%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:79    -      -            
     1.40%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:307   -      -            
     1.34%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:312   -      -            
     1.34%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:313   -      -            
     1.33%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:340   -      -            
     1.32%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:309   -      -            
     1.32%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:287   -      -            
     1.24%  [.] campp_reference_offset_for_linear      reference_kernel_utils.c:62      -      -            
     1.20%  [.] campp_aarch64_qlinear_conv_o4i4        arm_neon.h:12257                 -      -            
     1.17%  [.] campp_aarch64_qconv_requantize_store4  requantization_neon.c:148        -      -            
     1.09%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:295   -      -            
     0.97%  [.] output_hash                            campp_operator_microbench.c:372  -      -            
     0.66%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:285   -      -            
     0.64%  [.] campp_aarch64_qlinear_conv_o4i4        tensor_view.h:110                -      -            
     0.63%  [.] output_hash                            campp_operator_microbench.c:373  -      -            
     0.62%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:355   -      -            
     0.62%  [.] output_hash                            campp_operator_microbench.c:405  -      -            
     0.59%  [.] campp_aarch64_qlinear_conv_o4i4        qlinear_convolution_neon.c:303   -      -            
